icao24,registration,airline,iata,model,last_flight,idle_days,status,04-07,05-07,06-07,07-07,08-07,09-07,10-07
75002a,9M-AHJ,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75002b,9M-XXU,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75002c,9M-AHL,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75006e,9M-AHM,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75006f,9M-XXV,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750073,9M-XXA,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750074,9M-XXB,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750076,9M-AHP,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750090,9M-AHQ,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750092,9M-AHA,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750094,9M-AHR,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7500bf,9M-AHB,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7500c8,9M-XXW,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7500dc,9M-AHD,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7500dd,9M-AHS,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7500e4,9M-AHE,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750105,9M-AFB,AirAsia Malaysia,AK,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750106,9M-AFC,AirAsia Malaysia,AK,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750109,9M-AFD,AirAsia Malaysia,AK,A320 214,10-07-2026,0,🟢 Active,3,5,5,4,6,6,3
75010a,9M-AFE,AirAsia Malaysia,AK,A320 214,10-07-2026,0,🟢 Active,6,4,5,5,4,6,3
75010b,9M-AFF,AirAsia Malaysia,AK,A320 214,10-07-2026,0,🟢 Active,4,5,5,4,5,7,3
750111,9M-AJS,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750112,9M-XXY,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75012b,9M-AFO,AirAsia Malaysia,AK,Airbus A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75013f,9M-AFP,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750140,9M-AJT,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750146,9M-AFT,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750147,9M-AFU,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750148,9M-AFV,AirAsia Malaysia,AK,A320 216,10-07-2026,0,🟢 Active,4,4,6,4,2,5,2
750149,9M-AFW,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75014b,9M-AFY,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75014c,9M-AFZ,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750159,9M-AHF,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75015a,9M-AHG,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75015b,9M-AHH,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501e4,9M-AHT,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501e6,9M-AHV,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501e7,9M-XXC,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501e8,9M-XXD,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501e9,9M-XXE,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501f1,9M-AHX,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501f9,9M-XXF,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501fa,9M-XXG,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501fb,9M-XXH,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501fc,9M-AHY,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7501fd,9M-AHZ,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75022b,9M-AQA,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750239,9M-AQB,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75026b,9M-XXZ,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750272,9M-AQE,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750277,9M-AQC,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75027d,9M-AQD,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75027e,9M-AQF,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750286,9M-AQG,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750287,9M-AQH,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750288,9M-AQI,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750299,9M-XXI,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75029c,9M-AQM,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502ad,9M-AQN,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502b3,9M-AQO,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502b7,9M-AQP,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502b8,9M-AQQ,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502b9,9M-AQR,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502bc,9M-AQS,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502ca,9M-AQU,AirAsia Malaysia,AK,Airbus A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502cc,9M-XXJ,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7502cd,9M-XXK,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750307,9M-AQV,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750322,9M-AQX,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750323,9M-AQY,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750324,9M-AQZ,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750333,9M-AJA,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750334,9M-XXP,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75033b,9M-AJC,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75033c,9M-AJE,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
75033d,9M-AJD,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503a9,9M-XXS,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503aa,9M-XXT,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503ae,9M-XBB,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503b1,9M-AJG,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503b2,9M-AJH,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503b3,9M-AJI,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503be,9M-AJJ,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503bf,9M-AJK,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503c4,9M-AJN,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503c8,9M-AJP,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503e0,9M-XBA,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503e2,9M-XBC,AirAsia X,D7,A330 343E,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503e3,9M-AJV,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503e4,9M-AJW,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503ec,9M-AJX,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503f6,9M-AJY,AirAsia Malaysia,AK,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7503fd,9M-AJZ,AirAsia Malaysia,AK,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750410,9M-NEO,AirAsia Malaysia,AK,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
750413,9M-AGA,AirAsia Malaysia,AK,A320 251NSL,10-07-2026,0,🟢 Active,4,5,5,4,6,5,4
750419,9M-AGB,AirAsia Malaysia,AK,A320 251NSL,10-07-2026,0,🟢 Active,5,4,4,4,3,5,2
750436,9M-AGC,AirAsia Malaysia,AK,A320 216SL,10-07-2026,0,🟢 Active,4,0,4,4,7,8,3
75043c,9M-AGD,AirAsia Malaysia,AK,A320 251NSL,10-07-2026,0,🟢 Active,5,6,7,8,8,7,3
75043e,9M-AGE,AirAsia Malaysia,AK,A320 251NSL,10-07-2026,0,🟢 Active,6,5,2,1,4,2,3
75043f,9M-AGF,AirAsia Malaysia,AK,A320 251NSL,10-07-2026,0,🟢 Active,4,6,7,4,4,3,4
750440,9M-AGG,AirAsia Malaysia,AK,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
7504cd,9M-XXQ,AirAsia X,D7,A330-343,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880441,HS-ABA,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880442,HS-ABB,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880443,HS-ABC,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880444,HS-ABD,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880445,HS-ABE,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880446,HS-ABF,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880447,HS-ABG,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880448,HS-ABH,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880449,HS-ABI,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044a,HS-ABJ,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044b,HS-ABK,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044c,HS-ABL,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044d,HS-ABM,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044e,HS-ABN,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88044f,HS-ABO,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880450,HS-ABP,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880451,HS-ABQ,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880452,HS-ABR,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880453,HS-ABS,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880454,HS-ABT,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880455,HS-ABU,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880456,HS-ABV,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880457,HS-ABW,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880458,HS-ABX,Thai AirAsia,FD,A320-214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880459,HS-ABY,Thai AirAsia,FD,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88045a,HS-ABZ,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880841,HS-BBA,Thai AirAsia,FD,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880842,HS-BBB,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880843,HS-BBC,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880844,HS-BBD,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880845,HS-BBE,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880846,HS-BBF,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880847,HS-BBG,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880848,HS-BBH,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880849,HS-BBI,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084a,HS-BBJ,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084b,HS-BBK,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084c,HS-BBL,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084d,HS-BBM,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084e,HS-BBN,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084f,HS-BBO,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880850,HS-BBP,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880851,HS-BBQ,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880852,HS-BBR,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880853,HS-BBS,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880854,HS-BBT,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880855,HS-BBU,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880856,HS-BBV,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880857,HS-BBW,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880858,HS-BBX,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880859,HS-BBY,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88085a,HS-BBZ,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c41,HS-CBA,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c42,HS-CBB,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c4a,HS-CBJ,Thai AirAsia,FD,A320-251N,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
886289,HS-XTI,Thai AirAsia X,XJ,A330-343 ,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a017c,PK-AXD,Indonesia AirAsia,QZ,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a018c,PK-AXE,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01ba,PK-AXF,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01bb,PK-AXG,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01c9,PK-AXH,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01e2,PK-AXI,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01fe,PK-AXJ,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02a8,PK-AXR,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02b0,PK-AXS,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02ca,PK-AXT,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02cb,PK-AXU,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02d2,PK-AXV,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0320,PK-AXX,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a036b,PK-AXY,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0394,PK-AZA,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03e5,PK-AZD,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03f3,PK-AZE,Indonesia AirAsia,QZ,A320 214SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03f4,PK-AZF,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0418,PK-AZG,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0419,PK-AZH,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0441,PK-AZI,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0442,PK-AZJ,Indonesia AirAsia,QZ,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
