registration,icao24,operator,model,idle_days,status
HS-ABA,880441,AIQ,A320 216,,ERROR
HS-ABB,880442,AIQ,A320 216,,ERROR
HS-ABC,880443,AIQ,A320 216,,ERROR
HS-ABD,880444,AIQ,A320 216,,ERROR
HS-ABE,880445,AIQ,A320 216,,ERROR
HS-ABF,880446,AIQ,A320 216,,ERROR
HS-ABG,880447,AIQ,A320 216,,ERROR
HS-ABH,880448,AIQ,A320 216,,ERROR
HS-ABI,880449,AIQ,A320 216,,ERROR
HS-ABJ,88044a,AIQ,A320 216,,ERROR
HS-ABK,88044b,AIQ,A320 216,,ERROR
HS-ABL,88044c,AIQ,A320 216,,ERROR
HS-ABM,88044d,AIQ,A320 216,,ERROR
HS-ABN,88044e,AIQ,A320 216,,ERROR
HS-ABO,88044f,AIQ,A320 216,,ERROR
HS-ABP,880450,AIQ,A320 216,,ERROR
HS-ABQ,880451,AIQ,A320 216,,ERROR
HS-ABR,880452,AIQ,A320 216,,ERROR
HS-ABS,880453,AIQ,A320 216,,ERROR
HS-ABT,880454,AIQ,A320 216,,ERROR
HS-ABU,880455,AIQ,A320 216,,ERROR
HS-ABV,880456,AIQ,A320 216,,ERROR
HS-ABW,880457,AIQ,A320 216,,ERROR
HS-ABX,880458,AIQ,A320-214,,ERROR
HS-ABY,880459,AIQ,A320 214,,ERROR
HS-ABZ,88045a,AIQ,A320 216,,ERROR
HS-BBA,880841,AIQ,A320 214,,ERROR
HS-BBB,880842,AIQ,A320 216,,ERROR
HS-BBC,880843,AIQ,A320 216SL,,ERROR
HS-BBD,880844,AIQ,A320 216SL,,ERROR
HS-BBE,880845,AIQ,A320 216SL,,ERROR
HS-BBF,880846,AIQ,A320 216SL,,ERROR
HS-BBG,880847,AIQ,A320 216SL,,ERROR
HS-BBH,880848,AIQ,A320 216SL,,ERROR
HS-BBI,880849,AIQ,A320 216SL,,ERROR
HS-BBJ,88084a,AIQ,A320 216SL,,ERROR
HS-BBK,88084b,AIQ,A320 216SL,,ERROR
HS-BBL,88084c,AIQ,A320 216SL,,ERROR
HS-BBM,88084d,AIQ,A320 216SL,,ERROR
HS-BBN,88084e,AIQ,A320 216SL,,ERROR
HS-BBO,88084f,AIQ,A320 216SL,,ERROR
HS-BBP,880850,AIQ,A320 216SL,,ERROR
HS-BBQ,880851,AIQ,A320 216SL,,ERROR
HS-BBR,880852,AIQ,A320 216SL,,ERROR
HS-BBS,880853,AIQ,A320 216,,ERROR
HS-BBT,880854,AIQ,A320 216,,ERROR
HS-BBU,880855,AIQ,A320 216SL,,ERROR
HS-BBV,880856,AIQ,A320 216SL,,ERROR
HS-BBW,880857,AIQ,A320 216SL,,ERROR
HS-BBX,880858,AIQ,A320 251NSL,,ERROR
HS-BBY,880859,AIQ,A320 251NSL,,ERROR
HS-BBZ,88085a,AIQ,A320 251NSL,,ERROR
HS-CBA,880c41,AIQ,A320 216SL,,ERROR
HS-CBB,880c42,AIQ,A320 251NSL,,ERROR
HS-CBJ,880c4a,AIQ,A320-251N,,ERROR
PK-AXD,8a017c,AWQ,A320 214,,ERROR
PK-AXE,8a018c,AWQ,A320 216,,ERROR
PK-AXF,8a01ba,AWQ,A320 216,,ERROR
PK-AXG,8a01bb,AWQ,A320 216,,ERROR
PK-AXH,8a01c9,AWQ,A320 216,,ERROR
PK-AXI,8a01e2,AWQ,A320 216,,ERROR
PK-AXJ,8a01fe,AWQ,A320 216,,ERROR
PK-AXR,8a02a8,AWQ,A320 216,,ERROR
PK-AXS,8a02b0,AWQ,A320 216,,ERROR
PK-AXT,8a02ca,AWQ,A320 216,,ERROR
PK-AXU,8a02cb,AWQ,A320 216,,ERROR
PK-AXV,8a02d2,AWQ,A320 216,,ERROR
PK-AXX,8a0320,AWQ,A320 216,,ERROR
PK-AXY,8a036b,AWQ,A320 216,,ERROR
PK-AZA,8a0394,AWQ,A320 216,,ERROR
PK-AZD,8a03e5,AWQ,A320 216SL,,ERROR
PK-AZE,8a03f3,AWQ,A320 214SL,,ERROR
PK-AZF,8a03f4,AWQ,A320 216SL,,ERROR
PK-AZG,8a0418,AWQ,A320 216SL,,ERROR
PK-AZH,8a0419,AWQ,A320 216,,ERROR
PK-AZI,8a0441,AWQ,A320 216,,ERROR
PK-AZJ,8a0442,AWQ,A320 214,,ERROR
9M-AFB,750105,AXM,A320 214,,ERROR
9M-AFC,750106,AXM,A320 214,,ERROR
9M-AFD,750109,AXM,A320 214,,ERROR
9M-AFE,75010a,AXM,A320 214,,ERROR
9M-AFF,75010b,AXM,A320 214,,ERROR
9M-AFO,75012b,AXM,Airbus A320 216,,ERROR
9M-AFP,75013f,AXM,A320 216,,ERROR
9M-AFT,750146,AXM,A320 216,,ERROR
9M-AFU,750147,AXM,A320 216,,ERROR
9M-AFV,750148,AXM,A320 216,,ERROR
9M-AFW,750149,AXM,A320 216,,ERROR
9M-AFY,75014b,AXM,A320 216,,ERROR
9M-AFZ,75014c,AXM,A320 216,,ERROR
9M-AGA,750413,AXM,A320 251NSL,,ERROR
9M-AGB,750419,AXM,A320 251NSL,,ERROR
9M-AGC,750436,AXM,A320 216SL,,ERROR
9M-AGD,75043c,AXM,A320 251NSL,,ERROR
9M-AGE,75043e,AXM,A320 251NSL,,ERROR
9M-AGF,75043f,AXM,A320 251NSL,,ERROR
9M-AGG,750440,AXM,A320 251NSL,,ERROR
9M-AHA,750092,AXM,A320 216,,ERROR
9M-AHB,7500bf,AXM,A320 216,,ERROR
9M-AHD,7500dc,AXM,A320 216,,ERROR
9M-AHE,7500e4,AXM,A320 216,,ERROR
9M-AHF,750159,AXM,A320 216,,ERROR
9M-AHG,75015a,AXM,A320 216,,ERROR
9M-AHH,75015b,AXM,A320 216,,ERROR
9M-AHJ,75002a,AXM,A320 216,,ERROR
9M-AHL,75002c,AXM,A320 216,,ERROR
9M-AHM,75006e,AXM,A320 216,,ERROR
9M-AHP,750076,AXM,A320 216,,ERROR
9M-AHQ,750090,AXM,A320 216,,ERROR
9M-AHR,750094,AXM,A320 216,,ERROR
9M-AHS,7500dd,AXM,A320 216,,ERROR
9M-AHT,7501e4,AXM,A320 216,,ERROR
9M-AHV,7501e6,AXM,A320 216,,ERROR
9M-AHX,7501f1,AXM,A320 216,,ERROR
9M-AHY,7501fc,AXM,A320 216,,ERROR
9M-AHZ,7501fd,AXM,A320 216,,ERROR
9M-AJA,750333,AXM,A320 216SL,,ERROR
9M-AJC,75033b,AXM,A320 216SL,,ERROR
9M-AJD,75033d,AXM,A320 216SL,,ERROR
9M-AJE,75033c,AXM,A320 216SL,,ERROR
9M-AJG,7503b1,AXM,A320 216SL,,ERROR
9M-AJH,7503b2,AXM,A320 216SL,,ERROR
9M-AJI,7503b3,AXM,A320 216SL,,ERROR
9M-AJJ,7503be,AXM,A320 216SL,,ERROR
9M-AJK,7503bf,AXM,A320 216SL,,ERROR
9M-AJN,7503c4,AXM,A320 216SL,,ERROR
9M-AJP,7503c8,AXM,A320 216SL,,ERROR
9M-AJS,750111,AXM,A320 216,,ERROR
9M-AJT,750140,AXM,A320 216SL,,ERROR
9M-AJV,7503e3,AXM,A320 216,,ERROR
9M-AJW,7503e4,AXM,A320 216,,ERROR
9M-AJX,7503ec,AXM,A320 216,,ERROR
9M-AJY,7503f6,AXM,A320 216,,ERROR
9M-AJZ,7503fd,AXM,A320 216SL,,ERROR
9M-AQA,75022b,AXM,A320 216,,ERROR
9M-AQB,750239,AXM,A320 216,,ERROR
9M-AQC,750277,AXM,A320 216,,ERROR
9M-AQD,75027d,AXM,A320 216,,ERROR
9M-AQE,750272,AXM,A320 216,,ERROR
9M-AQF,75027e,AXM,A320 216,,ERROR
9M-AQG,750286,AXM,A320 216,,ERROR
9M-AQH,750287,AXM,A320 216,,ERROR
9M-AQI,750288,AXM,A320 216,,ERROR
9M-AQM,75029c,AXM,A320 216,,ERROR
9M-AQN,7502ad,AXM,A320 216,,ERROR
9M-AQO,7502b3,AXM,A320 216,,ERROR
9M-AQP,7502b7,AXM,A320 216,,ERROR
9M-AQQ,7502b8,AXM,A320 216SL,,ERROR
9M-AQR,7502b9,AXM,A320 216,,ERROR
9M-AQS,7502bc,AXM,A320 216,,ERROR
9M-AQU,7502ca,AXM,Airbus A320 216SL,,ERROR
9M-AQV,750307,AXM,A320 216SL,,ERROR
9M-AQX,750322,AXM,A320 216SL,,ERROR
9M-AQY,750323,AXM,A320 216SL,,ERROR
9M-AQZ,750324,AXM,A320 216SL,,ERROR
9M-NEO,750410,AXM,A320 251NSL,,ERROR
VT-HKG,8013af,IAD,A320-214,,ERROR
HS-XTI,886289,TAX,A330-343 ,,ERROR
9M-XBA,7503e0,XAX,A330 343E,,ERROR
9M-XBB,7503ae,XAX,A330 343E,,ERROR
9M-XBC,7503e2,XAX,A330 343E,,ERROR
9M-XXA,750073,XAX,A330 343E,,ERROR
9M-XXB,750074,XAX,A330 343E,,ERROR
9M-XXC,7501e7,XAX,A330 343E,,ERROR
9M-XXD,7501e8,XAX,A330 343E,,ERROR
9M-XXE,7501e9,XAX,A330 343E,,ERROR
9M-XXF,7501f9,XAX,A330 343E,,ERROR
9M-XXG,7501fa,XAX,A330 343E,,ERROR
9M-XXH,7501fb,XAX,A330 343E,,ERROR
9M-XXI,750299,XAX,A330 343E,,ERROR
9M-XXJ,7502cc,XAX,A330 343E,,ERROR
9M-XXK,7502cd,XAX,A330 343E,,ERROR
9M-XXP,750334,XAX,A330 343E,,ERROR
9M-XXQ,7504cd,XAX,A330-343,,ERROR
9M-XXS,7503a9,XAX,A330 343E,,ERROR
9M-XXT,7503aa,XAX,A330 343E,,ERROR
9M-XXU,75002b,XAX,A330 343E,,ERROR
9M-XXV,75006f,XAX,A330 343E,,ERROR
9M-XXW,7500c8,XAX,A330 343E,,ERROR
9M-XXY,750112,XAX,A330 343E,,ERROR
9M-XXZ,75026b,XAX,A330 343E,,ERROR
